priority,old_url,clicks,impressions,current_redirect_target,candidate_exact_route,candidate_indexability,quality_issues,reviewed_disposition,severity,commercial_exposure,implementation_status,corrected_fields,provenance,unresolved_facts,indexation_decision,redirect_decision,next_evidence,rationale
11,https://oztimberfloor.com.au/product/kempas-natural/,3,200,/hybrid-flooring-sydney/,/products/kempas-natural/,noindex,empty-or-placeholder-thickness,INCOMPLETE_BUT_VALUABLE_RETAIN_CURRENT_CONTROL,MEDIUM,3 clicks / 200 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,retain current control pending exact mapping evidence,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The closest product or range is not safe to index; retain controlled treatment pending verified data.
12,https://oztimberfloor.com.au/product/solid-raw-timber-blackbutt/,3,188,/ranges/raw-solid-timber/,/products/solid-raw-timber-blackbutt/,missing,unverified,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,3 clicks / 188 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",retain current route-level state until the exact protected decision is approved,redirect-range,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",The exact product route is incomplete or noindex; preserve product intent through its verified indexable catalogue parent range.
13,https://oztimberfloor.com.au/product/kronswiss-aquastop-brooklyn-oak/,3,119,/ranges/kronoswiss-aquastop/,/products/kronswiss-aquastop-brooklyn-oak/,noindex,empty-or-placeholder-thickness;legacy-or-alias-range,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,3 clicks / 119 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
14,https://oztimberfloor.com.au/product/prestige-oak-hex-grey/,3,27,/ranges/prestige-oak/,/products/prestige-oak-hex-grey/,noindex,empty-or-placeholder-thickness;legacy-or-alias-range,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,3 clicks / 27 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
15,https://oztimberfloor.com.au/product/storm-vintage-evian-oak/,3,24,/ranges/storm-luxury/,/products/storm-vintage-evian-oak/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,3 clicks / 24 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product remains controlled/noindex; preserve its product-family intent through the verified indexable Storm Luxury range.
16,https://oztimberfloor.com.au/product/solid-raw-timber-turpentine/,2,677,/ranges/raw-solid-timber/,/products/solid-raw-timber-turpentine/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,2 clicks / 677 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product route is incomplete or noindex; preserve product intent through its verified indexable catalogue parent range.
17,https://oztimberfloor.com.au/product/sydney-blue-gum/,2,638,/solid-timber-flooring-sydney/,/products/sydney-blue-gum/,missing,unverified,INCOMPLETE_BUT_VALUABLE_RETAIN_CURRENT_CONTROL,MEDIUM,2 clicks / 638 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",retain current route-level state until the exact protected decision is approved,retain current control pending exact mapping evidence,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",The legacy product currently resolves to a broad category and needs a product-level evidence decision.
18,https://oztimberfloor.com.au/product/solid-raw-timber-grey-box/,2,387,/ranges/raw-solid-timber/,/products/solid-raw-timber-grey-box/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,2 clicks / 387 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product route is incomplete or noindex; preserve product intent through its verified indexable catalogue parent range.
19,https://oztimberfloor.com.au/product-category/engineered-timber/grand-oak-14-5mm/,2,242,/engineered-timber-flooring-sydney/,/engineered-timber-flooring-sydney/,indexable,unverified,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,2 clicks / 242 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,Confirm that the current range/category fallback remains the best semantic replacement; do not index a product page without verified data.,retain current route-level state until the exact protected decision is approved,redirect-category,Confirm that the current range/category fallback remains the best semantic replacement; do not index a product page without verified data.,No publishable exact range is currently established; retain the reviewed category fallback.
20,https://oztimberfloor.com.au/product/kronoswiss-aquastop-leysin/,2,118,/ranges/kronoswiss-aquastop/,/products/kronoswiss-aquastop-leysin/,noindex,empty-or-placeholder-thickness;legacy-or-alias-range,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,2 clicks / 118 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
21,https://oztimberfloor.com.au/product/villeroy-boch-aquastop-sand-oak/,2,90,/laminate-flooring-sydney/,/products/villeroy-boch-aquastop-sand-oak/,noindex,empty-or-placeholder-thickness,INCOMPLETE_BUT_VALUABLE_RETAIN_CURRENT_CONTROL,MEDIUM,2 clicks / 90 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,retain current control pending exact mapping evidence,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The closest product or range is not safe to index; retain controlled treatment pending verified data.
22,https://oztimberfloor.com.au/product/stone-floor-bianco-white/,2,77,/ranges/stone-floor-tile/,/products/stone-floor-bianco-white/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,2 clicks / 77 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product remains controlled/noindex; preserve its product-family intent through the verified indexable Stone Floor Tile range.
23,https://oztimberfloor.com.au/product/etf-hybrid-spc-9mm-helena-oak/,2,51,/ranges/etf-9-0mm-hybrid/,/products/etf-hybrid-spc-9mm-helena-oak/,noindex,needs-data,INCOMPLETE_BUT_VALUABLE_RETAIN_CURRENT_CONTROL,MEDIUM,2 clicks / 51 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,retain current control pending exact mapping evidence,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",No verified indexable ETF 9.0mm Helena Oak product exists. Keep the incomplete alias noindex and confirm current product data and imagery before any product-page publication decision.
24,https://oztimberfloor.com.au/product/kronoswiss-aquastop-natural-oak-brown/,2,33,/ranges/kronoswiss-aquastop/,/products/kronoswiss-aquastop-natural-oak-brown/,noindex,empty-or-placeholder-thickness;legacy-or-alias-range,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,2 clicks / 33 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
25,https://oztimberfloor.com.au/product/preference-select-spotted-gum/,2,27,/ranges/select-australian-timber/,/products/preference-select-spotted-gum/,missing,unverified,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,2 clicks / 27 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",retain current route-level state until the exact protected decision is approved,redirect-range,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
26,https://oztimberfloor.com.au/product/australian-blackbutt/,2,21,/ranges/solid/,/products/australian-blackbutt/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,2 clicks / 21 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product route is incomplete or noindex; preserve product intent through its verified indexable catalogue parent range.
27,https://oztimberfloor.com.au/product/swish-blackbutt/,2,11,/ranges/swish/,/products/swish-blackbutt/,noindex,invalid-board-dimensions,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,2 clicks / 11 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product route is incomplete or noindex; preserve product intent through its verified indexable catalogue parent range.
28,https://oztimberfloor.com.au/product/hydroplank-midtown/,2,10,/ranges/hydroplank-wpc/,/products/hydroplank-midtown/,noindex,empty-or-placeholder-thickness;legacy-or-alias-range,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,2 clicks / 10 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
29,https://oztimberfloor.com.au/product/kerangi-king-teak/,2,9,/hybrid-flooring-sydney/,/products/kerangi-king-teak/,noindex,empty-or-placeholder-thickness,INCOMPLETE_BUT_VALUABLE_RETAIN_CURRENT_CONTROL,MEDIUM,2 clicks / 9 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,retain current control pending exact mapping evidence,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The closest product or range is not safe to index; retain controlled treatment pending verified data.
30,https://oztimberfloor.com.au/product/pronto-portofino/,1,65,/ranges/pronto/,/products/pronto-portofino/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 65 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
31,https://oztimberfloor.com.au/product/stone-floor-stone-oak/,1,49,/ranges/stone-floor-tile/,/products/stone-floor-stone-oak/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 49 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product remains controlled/noindex; preserve its product-family intent through the verified indexable Stone Floor Tile range.
32,https://oztimberfloor.com.au/product/storm-new-england-blackbutt/,1,49,/ranges/storm-luxury/,/products/storm-new-england-blackbutt/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 49 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product remains controlled/noindex; preserve its product-family intent through the verified indexable Storm Luxury range.
33,https://oztimberfloor.com.au/product/ornato-hybrid-oak-sofia/,1,48,/hybrid-flooring-sydney/,/products/ornato-hybrid-oak-sofia/,noindex,empty-or-placeholder-thickness,INCOMPLETE_BUT_VALUABLE_RETAIN_CURRENT_CONTROL,MEDIUM,1 clicks / 48 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,retain current control pending exact mapping evidence,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The closest product or range is not safe to index; retain controlled treatment pending verified data.
34,https://oztimberfloor.com.au/product/solid-raw-timber-brush-box/,1,41,/solid-timber-flooring-sydney/,/products/solid-raw-timber-brush-box/,missing,unverified,INCOMPLETE_BUT_VALUABLE_RETAIN_CURRENT_CONTROL,MEDIUM,1 clicks / 41 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",retain current route-level state until the exact protected decision is approved,retain current control pending exact mapping evidence,"Confirm current product/range status, exact replacement, reliable local image and source-backed specifications.",The legacy product currently resolves to a broad category and needs a product-level evidence decision.
35,https://oztimberfloor.com.au/product/grandoak-european-oak/,1,29,/engineered-timber-flooring-sydney/,/products/grandoak-european-oak/,noindex,empty-or-placeholder-thickness,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 29 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-category,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.","Grand Oak catalogue evidence identifies Engineered timber, but no verified indexable Grand Oak product or range is published; retain the Engineered timber owner rather than the semantically wrong Hybrid category."
36,https://oztimberfloor.com.au/product/prestige-oak-derby-brown/,1,19,/ranges/prestige-oak/,/products/prestige-oak-derby-brown/,noindex,empty-or-placeholder-thickness;legacy-or-alias-range,RETAIN_REVIEWED_CURRENT_DESTINATION,MEDIUM,1 clicks / 19 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,redirect-range,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The exact product is not publishable; preserve its intent through the verified indexable catalogue parent range.
37,https://oztimberfloor.com.au/product/luxury-hybrid-vienna/,1,19,/hybrid-flooring-sydney/,/products/luxury-hybrid-vienna/,noindex,empty-or-placeholder-thickness,INCOMPLETE_BUT_VALUABLE_RETAIN_CURRENT_CONTROL,MEDIUM,1 clicks / 19 impressions in supplied 12-month GSC export,NO_PROTECTED_CHANGE_THIS_TASK,"none; this row records URL/equity disposition, not unsupported product enrichment",supplied 2026-09-01 GSC workbook plus current local route/redirect inspection,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",retain current route-level state until the exact protected decision is approved,retain current control pending exact mapping evidence,"Resolve the recorded catalogue quality gaps, confirm a reliable local image and re-run the indexation review.",The closest product or range is not safe to index; retain controlled treatment pending verified data.
