route,wordpress_status,wordpress_final_url,wordpress_canonical,local_source,netlify_status,netlify_final_url,netlify_canonical,netlify_x_robots,parity_status,old_main_topic,current_coverage,accuracy_status,commercial_usefulness,action,evidence
/timber-flooring-installation-sydney/,404,https://oztimberfloor.com.au/timber-flooring-installation-sydney/,,timber-flooring-installation-sydney/index.html,200,https://oztimberfloor.netlify.app/timber-flooring-installation-sydney/,https://oztimberfloor.com.au/timber-flooring-installation-sydney/,"noindex, nofollow",EXPECTED_PLATFORM_DIFFERENCE,Installation,local source present; direct Netlify response inspected,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,KEEP_CONTENT_PENDING_OWNER_DECISION,2026-09-09 bounded GET plus timber-flooring-installation-sydney/index.html
/commercial-flooring/,200,https://oztimberfloor.com.au/commercial-flooring/,https://oztimberfloor.com.au/commercial-flooring/,redirect-only-or-missing,200,https://oztimberfloor.netlify.app/commercial-flooring-sydney,https://oztimberfloor.com.au/commercial-flooring-sydney/,"noindex, nofollow",PROTECTED_OWNER_DECISION,Commercial flooring,route/redirect evidence only,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,RESTORE_CONTENT_TO_OWNER_AFTER_APPROVAL,2026-09-09 bounded GET plus redirect map
/commercial-flooring-sydney/,404,https://oztimberfloor.com.au/commercial-flooring-sydney/,,commercial-flooring-sydney/index.html,200,https://oztimberfloor.netlify.app/commercial-flooring-sydney/,https://oztimberfloor.com.au/commercial-flooring-sydney/,"noindex, nofollow",EXPECTED_PLATFORM_DIFFERENCE,Commercial flooring,local source present; direct Netlify response inspected,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,KEEP_CONTENT_PENDING_OWNER_DECISION,2026-09-09 bounded GET plus commercial-flooring-sydney/index.html
/office-flooring/,200,https://oztimberfloor.com.au/office-flooring/,https://oztimberfloor.com.au/office-flooring/,redirect-only-or-missing,200,https://oztimberfloor.netlify.app/office-flooring-sydney,https://oztimberfloor.com.au/office-flooring-sydney/,"noindex, nofollow",PROTECTED_OWNER_DECISION,Office flooring,route/redirect evidence only,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,RESTORE_CONTENT_TO_OWNER_AFTER_APPROVAL,2026-09-09 bounded GET plus redirect map
/office-flooring-sydney/,404,https://oztimberfloor.com.au/office-flooring-sydney/,,office-flooring-sydney/index.html,200,https://oztimberfloor.netlify.app/office-flooring-sydney/,https://oztimberfloor.com.au/office-flooring-sydney/,"noindex, nofollow",EXPECTED_PLATFORM_DIFFERENCE,Office flooring,local source present; direct Netlify response inspected,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,KEEP_CONTENT_PENDING_OWNER_DECISION,2026-09-09 bounded GET plus office-flooring-sydney/index.html
/solid-timber/,200,https://oztimberfloor.com.au/solid-timber/,https://oztimberfloor.com.au/solid-timber/,redirect-only-or-missing,200,https://oztimberfloor.netlify.app/solid-timber-flooring-sydney,https://oztimberfloor.com.au/solid-timber-flooring-sydney/,"noindex, nofollow",PROTECTED_OWNER_DECISION,Solid timber,route/redirect evidence only,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,RESTORE_CONTENT_TO_OWNER_AFTER_APPROVAL,2026-09-09 bounded GET plus redirect map
/solid-timber-flooring-sydney/,404,https://oztimberfloor.com.au/solid-timber-flooring-sydney/,,solid-timber-flooring-sydney/index.html,200,https://oztimberfloor.netlify.app/solid-timber-flooring-sydney/,https://oztimberfloor.com.au/solid-timber-flooring-sydney/,"noindex, nofollow",EXPECTED_PLATFORM_DIFFERENCE,Solid timber,local source present; direct Netlify response inspected,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,KEEP_CONTENT_PENDING_OWNER_DECISION,2026-09-09 bounded GET plus solid-timber-flooring-sydney/index.html
/vinyl/,200,https://oztimberfloor.com.au/vinyl/,https://oztimberfloor.com.au/vinyl/,redirect-only-or-missing,200,https://oztimberfloor.netlify.app/vinyl-flooring-sydney,https://oztimberfloor.com.au/vinyl-flooring-sydney/,"noindex, nofollow",PROTECTED_OWNER_DECISION,Vinyl flooring,route/redirect evidence only,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,RESTORE_CONTENT_TO_OWNER_AFTER_APPROVAL,2026-09-09 bounded GET plus redirect map
/vinyl-flooring-sydney/,404,https://oztimberfloor.com.au/vinyl-flooring-sydney/,,vinyl-flooring-sydney/index.html,200,https://oztimberfloor.netlify.app/vinyl-flooring-sydney/,https://oztimberfloor.com.au/vinyl-flooring-sydney/,"noindex, nofollow",EXPECTED_PLATFORM_DIFFERENCE,Vinyl flooring,local source present; direct Netlify response inspected,CONTENT_PRESENT_OWNER_PENDING,customer-facing browse/contact path retained,KEEP_CONTENT_PENDING_OWNER_DECISION,2026-09-09 bounded GET plus vinyl-flooring-sydney/index.html
/about-us/,200,https://oztimberfloor.com.au/about-us/,https://oztimberfloor.com.au/about-us/,redirect-only-or-missing,200,https://oztimberfloor.netlify.app/about/,https://oztimberfloor.com.au/about/,"noindex, nofollow",PROTECTED_OWNER_DECISION,business identity and trust,route/redirect evidence only,NO_CURRENT_DEFECT_REPRODUCED,customer-facing browse/contact path retained,KEEP,2026-09-09 bounded GET plus redirect map
/about/,404,https://oztimberfloor.com.au/about/,,about/index.html,200,https://oztimberfloor.netlify.app/about/,https://oztimberfloor.com.au/about/,"noindex, nofollow",EXPECTED_PLATFORM_DIFFERENCE,business identity and trust,local source present; direct Netlify response inspected,NO_CURRENT_DEFECT_REPRODUCED,customer-facing browse/contact path retained,KEEP,2026-09-09 bounded GET plus about/index.html
/contact-us/,200,https://oztimberfloor.com.au/contact-us/,https://oztimberfloor.com.au/contact-us/,redirect-only-or-missing,200,https://oztimberfloor.netlify.app/contact,https://oztimberfloor.com.au/contact/,"noindex, nofollow",PROTECTED_OWNER_DECISION,"enquiry types, direct contact and qualification fields",route/redirect evidence only,NO_CURRENT_DEFECT_REPRODUCED,customer-facing browse/contact path retained,KEEP,2026-09-09 bounded GET plus redirect map
/contact/,200,https://oztimberfloor.com.au/wp-content/uploads/2020/05/Contact-.png,,contact/index.html,200,https://oztimberfloor.netlify.app/contact/,https://oztimberfloor.com.au/contact/,"noindex, nofollow",PROTECTED_OWNER_DECISION,"enquiry types, direct contact and qualification fields",local source present; direct Netlify response inspected,NO_CURRENT_DEFECT_REPRODUCED,customer-facing browse/contact path retained,KEEP,2026-09-09 bounded GET plus contact/index.html
/blogs/,200,https://oztimberfloor.com.au/blogs/,https://oztimberfloor.com.au/blogs/,redirect-only-or-missing,200,https://oztimberfloor.netlify.app/guides,https://oztimberfloor.com.au/guides/,"noindex, nofollow",PROTECTED_OWNER_DECISION,buyer education and guide discovery,route/redirect evidence only,NO_CURRENT_DEFECT_REPRODUCED,customer-facing browse/contact path retained,KEEP,2026-09-09 bounded GET plus redirect map
/guides/,404,https://oztimberfloor.com.au/guides/,,guides/index.html,200,https://oztimberfloor.netlify.app/guides/,https://oztimberfloor.com.au/guides/,"noindex, nofollow",EXPECTED_PLATFORM_DIFFERENCE,buyer education and guide discovery,local source present; direct Netlify response inspected,NO_CURRENT_DEFECT_REPRODUCED,customer-facing browse/contact path retained,KEEP,2026-09-09 bounded GET plus guides/index.html
/bamboo/,200,https://oztimberfloor.com.au/bamboo/,https://oztimberfloor.com.au/bamboo/,redirect-only-or-missing,200,https://oztimberfloor.netlify.app/hardwood-timber-flooring-sydney/,https://oztimberfloor.com.au/hardwood-timber-flooring-sydney/,"noindex, nofollow",PROTECTED_OWNER_DECISION,retired Bamboo intent,retirement redirect; no public Bamboo marketing page,NO_CURRENT_DEFECT_REPRODUCED,alternative-category handoff only,KEEP_RETIRED,2026-09-09 bounded GET plus redirect map
/ranges/oakleaf/,404,https://oztimberfloor.com.au/ranges/oakleaf/,,ranges/oakleaf/index.html,200,https://oztimberfloor.netlify.app/ranges/oakleaf/,https://oztimberfloor.com.au/ranges/oakleaf/,"noindex, nofollow",EXPECTED_PLATFORM_DIFFERENCE,"Oakleaf range, products and enquiry",local source present; direct Netlify response inspected,NO_CURRENT_DEFECT_REPRODUCED,customer-facing browse/contact path retained,KEEP,2026-09-09 bounded GET plus ranges/oakleaf/index.html
/ranges/hardwood-collection/,404,https://oztimberfloor.com.au/ranges/hardwood-collection/,,ranges/hardwood-collection/index.html,200,https://oztimberfloor.netlify.app/ranges/hardwood-collection/,https://oztimberfloor.com.au/ranges/hardwood-collection/,"noindex, nofollow",EXPECTED_PLATFORM_DIFFERENCE,"Hardwood Collection range, colours, dimensions and enquiry",local source present; direct Netlify response inspected,FIXED_LOCAL_NOT_PROVEN_DEPLOYED,customer-facing browse/contact path retained,IMPROVE_VERIFIED_LOCAL,2026-09-09 bounded GET plus ranges/hardwood-collection/index.html
