id,slug,url,brand,supplier,supplierSourceUrl,range,rangeSlug,colour,category,shortDescription,thickness,boardSize,packSizeM2,installationMethod,finish,warrantySummary,suitableUse,cautionNotes,stockStatusLabel,primaryImage,altText,galleryStatus,specSheetUrl,wearLayer,coreType,acousticBacking,waterResistance,acRating,edgeDetail,species,totalThickness,structureCore,surfaceFinish,gradeCharacter,boardWidth,rawOrPrefinished,sandingFinishingNotes,plankOrTileFormat,commercialSuitability,sourceTag
artisan-tile-monaco-brown,artisan-tile-monaco-brown,/products/artisan-tile-monaco-brown/,,,,Artisan Tile,artisan-tile,Monaco Brown,Hybrid,"Artisan Tile Monaco Brown is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9mm,620 x 310 x 9mm,,Floating Floor (Licensed Click System),Confirm current supplier finish,Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,"Living areas, Kitchens, Apartments, Modern renovations, Feature interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-monaco-brown.webp,Monaco Brown hybrid flooring swatch,single-image-only,,Confirm current supplier wear layer or construction sheet,,,,,,,9mm,,Confirm current supplier finish,,,,,,, live-aligned import
artisan-tile-pietra-grey,artisan-tile-pietra-grey,/products/artisan-tile-pietra-grey/,,,,Artisan Tile,artisan-tile,Pietra Grey,Hybrid,"Artisan Tile Pietra Grey is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9mm,620 x 310 x 9mm,,Floating Floor (Licensed Click System),Confirm current supplier finish,Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,"Living areas, Kitchens, Apartments, Modern renovations, Feature interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-pietra-grey.webp,Pietra Grey hybrid flooring swatch,single-image-only,,Confirm current supplier wear layer or construction sheet,,,,,,,9mm,,Confirm current supplier finish,,,,,,, live-aligned import
artisan-tile-valley-beige,artisan-tile-valley-beige,/products/artisan-tile-valley-beige/,,,,Artisan Tile,artisan-tile,Valley Beige,Hybrid,"Artisan Tile Valley Beige is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9mm,620 x 310 x 9mm,,Floating Floor (Licensed Click System),Confirm current supplier finish,Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,"Living areas, Kitchens, Apartments, Modern renovations, Feature interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-valley-beige.webp,Valley Beige hybrid flooring swatch,single-image-only,,Confirm current supplier wear layer or construction sheet,,,,,,,9mm,,Confirm current supplier finish,,,,,,, live-aligned import
artisan-tile-volcano,artisan-tile-volcano,/products/artisan-tile-volcano/,,,,Artisan Tile,artisan-tile,Volcano,Hybrid,"Artisan Tile Volcano is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",9mm,620 x 310 x 9mm,,Floating Floor (Licensed Click System),Confirm current supplier finish,Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,"Living areas, Kitchens, Apartments, Modern renovations, Feature interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/artisan-tile/artisan-volcano.webp,Volcano hybrid flooring swatch,single-image-only,,Confirm current supplier wear layer or construction sheet,,,,,,,9mm,,Confirm current supplier finish,,,,,,, live-aligned import
aspire-barn-oak,aspire-barn-oak,/products/aspire-barn-oak/,Aspire,Aspire,,Aspire,aspire,Barn Oak,Hybrid,"Aspire Barn Oak is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/images/categories/hybrid-flooring-thumbnail.webp,Aspire Barn Oak hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
aspire-buckskin,aspire-buckskin,/products/aspire-buckskin/,Aspire,Aspire,,Aspire,aspire,Buckskin,Hybrid,"Aspire Buckskin is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/images/categories/hybrid-flooring-thumbnail.webp,Aspire Buckskin hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
aspire-coastal-blackbutt,aspire-coastal-blackbutt,/products/aspire-coastal-blackbutt/,Aspire,Aspire,,Aspire,aspire,Coastal Blackbutt,Hybrid,"Aspire Coastal Blackbutt is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/floors/aspire/coastal-blackbutt/coastal-blackbutt-swatch.webp,Aspire Coastal Blackbutt hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
aspire-crystal-lake,aspire-crystal-lake,/products/aspire-crystal-lake/,Aspire,Aspire,,Aspire,aspire,Crystal Lake,Hybrid,"Aspire Crystal Lake is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/floors/aspire/crystal-lake/crystal-lake-swatch.webp,Aspire Crystal Lake hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
aspire-homstead,aspire-homstead,/products/aspire-homstead/,Aspire,Aspire,,Aspire,aspire,Homestead,Hybrid,"Aspire Homestead is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/images/categories/hybrid-flooring-thumbnail.webp,Aspire Homestead hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
aspire-new-england-blackbutt,aspire-new-england-blackbutt,/products/aspire-new-england-blackbutt/,Aspire,Aspire,,Aspire,aspire,New England Blackbutt,Hybrid,"Aspire New England Blackbutt is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/floors/aspire/new-england-blackbutt/new-england-blackbutt-swatch.webp,Aspire New England Blackbutt hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
aspire-nsw-spotted-gum,aspire-nsw-spotted-gum,/products/aspire-nsw-spotted-gum/,Aspire,Aspire,,Aspire,aspire,NSW Spotted Gum,Hybrid,"Aspire NSW Spotted Gum is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/floors/aspire/nsw-spotted-gum/nsw-spotted-gum-swatch.webp,Aspire NSW Spotted Gum hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
aspire-pale-gorge,aspire-pale-gorge,/products/aspire-pale-gorge/,Aspire,Aspire,,Aspire,aspire,Pale Gorge,Hybrid,"Aspire Pale Gorge is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/images/categories/hybrid-flooring-thumbnail.webp,Aspire Pale Gorge hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
aspire-qld-spotted-gum,aspire-qld-spotted-gum,/products/aspire-qld-spotted-gum/,Aspire,Aspire,,Aspire,aspire,QLD Spotted Gum,Hybrid,"Aspire QLD Spotted Gum is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/images/categories/hybrid-flooring-thumbnail.webp,Aspire QLD Spotted Gum hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
aspire-silver-moon,aspire-silver-moon,/products/aspire-silver-moon/,Aspire,Aspire,,Aspire,aspire,Silver Moon,Hybrid,"Aspire Silver Moon is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/floors/aspire/silver-moon/silver-moon-swatch.webp,Aspire Silver Moon hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
aspire-tempest,aspire-tempest,/products/aspire-tempest/,Aspire,Aspire,,Aspire,aspire,Tempest,Hybrid,"Aspire Tempest is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/images/categories/hybrid-flooring-thumbnail.webp,Aspire Tempest hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
aspire-tumbleweed,aspire-tumbleweed,/products/aspire-tumbleweed/,Aspire,Aspire,,Aspire,aspire,Tumbleweed,Hybrid,"Aspire Tumbleweed is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/images/categories/hybrid-flooring-thumbnail.webp,Aspire Tumbleweed hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
aspire-twilight-mist,aspire-twilight-mist,/products/aspire-twilight-mist/,Aspire,Aspire,,Aspire,aspire,Twilight Mist,Hybrid,"Aspire Twilight Mist is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/images/categories/hybrid-flooring-thumbnail.webp,Aspire Twilight Mist hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
aspire-warm-spring,aspire-warm-spring,/products/aspire-warm-spring/,Aspire,Aspire,,Aspire,aspire,Warm Spring,Hybrid,"Aspire Warm Spring is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",,,,Floating click system; confirm range-specific subfloor requirements,,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,"Homes, apartments, rentals and selected light commercial interiors","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/images/categories/hybrid-flooring-thumbnail.webp,Aspire Warm Spring hybrid flooring product,range-image,,,,,,,,,,,,,,,,,,Legacy Oz import
avala-blackbutt,avala-blackbutt,/products/avala-blackbutt/,,,,Avala,avala,Blackbutt,Hybrid,"Avala Blackbutt is available through Oz Timber Floor for supply-only, stock and supply + install enquiries across Sydney projects.",6.5mm,1524 x 183 or 230 x 6.5mm,,Floating Floor (Licensed Click System),Confirm current supplier finish,Confirm the current residential and commercial warranty for the exact hybrid collection before ordering.,"Living areas, Bedrooms, Kitchens, Apartments, Family homes","Subfloor flatness, moisture and transition details should be checked before laminate flooring is ordered or installed.",Check stock availability,/assets/products/hybrid/avala/avala-blackbutt.webp,Blackbutt hybrid flooring swatch,single-image-only,,Confirm current supplier wear layer or construction sheet,,,,,,,6.5mm,,Confirm current supplier finish,,,,,,, live-aligned import
