url,range_name,category,supplier,product_count,thickness,board_size,pack_size_m2,installation_method,warranty_summary,source_url
/ranges/oakleaf/,Oakleaf,Laminate,Oakleaf,12,,,,Floating click system with suitable underlay,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/oakleaf-laminate/,Oakleaf Laminate,Laminate,,2,"12mm, AC4, Plank Size: Length 2200mm, Pack Qty: 1.698m² Width: 193mm, Thickness:",,,Download Acoustic Test Download Floor Care Download Specification Data Sheet Dow,Confirm the current solid timber warranty for the selected range before order.,
/ranges/pantora-amor/,Pantora Amor,Laminate,,12,12mm,1515 x 234 x 12mm,,5G Licensed Click System,"Confirm the current laminate warranty for the selected collection, room type and installation method before ordering.",
/ranges/pantora-lifestyle/,Pantora Lifestyle,Laminate,,10,8mm,1500 x 196 x 8mm,,Licensed Click System,"Confirm the current laminate warranty for the selected collection, room type and installation method before ordering.",
/ranges/classic-laminate/,Classic Laminate,Laminate,,9,,,,Floating click system; confirm range-specific subfloor requirements,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/prime-contemporary-plus/,Prime Contemporary Plus,Laminate,,11,12.3mm,1215 x 195 x 12.3mm,,Floating Floor (Licensed Click System),"Confirm the current laminate warranty for the selected collection, room type and installation method before ordering.",
/ranges/prime-deluxe/,Prime Deluxe,Laminate,,8,8.3mm,1215 x 196 x 8.3mm,,Floating Floor (Licensed Click System),"Confirm the current laminate warranty for the selected collection, room type and installation method before ordering.",
/ranges/prime-legend/,Prime Legend,Laminate,,10,12.3mm,2200 x 239 x 12.3mm,,Floating Floor (Licensed Click System),"Confirm the current laminate warranty for the selected collection, room type and installation method before ordering.",
/ranges/prime-luxury/,Prime Luxury,Laminate,,10,12.3mm,2280 x 192 x 12.3mm,,Floating Floor (Licensed Click System),"Confirm the current laminate warranty for the selected collection, room type and installation method before ordering.",
/ranges/reflections/,Reflections,Laminate,Reflections,10,,,,Floating click system with suitable underlay,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/swish-aquastop/,Swish Aquastop,Laminate,Swish,12,,,,Floating click system with suitable underlay,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/swish-laminate/,Swish Laminate,Laminate,,12,Laminate,Length 1518mm x Width 236mm,,Floating click system. Final installation method depends on the product specification and site conditions.,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/swish-laminate-aqua/,Swish Laminate Aqua,Laminate,,16,Laminate,Length 2200mm x Width 196mm,,Floating click system. Final installation method depends on the product specification and site conditions.,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/villeroy-and-boch-aquastop/,Villeroy & Boch Aquastop,Laminate,Villeroy & Boch,21,,,,Floating click system with suitable underlay,Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/villeroy-and-boch-contemporary/,Villeroy & Boch Contemporary,Laminate,,4,Laminate,,,Floating click system. Final installation method depends on the product specification and site conditions.,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/villeroy-and-boch-cosmopolitan/,Villeroy & Boch Cosmopolitan,Laminate,,5,Laminate,,,Floating click system. Final installation method depends on the product specification and site conditions.,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/villeroy-and-boch-country/,Villeroy & Boch Country,Laminate,,3,Laminate,,,Floating click system. Final installation method depends on the product specification and site conditions.,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/villeroy-and-boch-heritage/,Villeroy & Boch Heritage,Laminate,,3,Laminate,,,Floating click system. Final installation method depends on the product specification and site conditions.,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/wide-plank-water-resistant-laminate/,Wide Plank Water Resistant Laminate,Laminate,,8,"2200mm length (nested shorts) Pack 2.112m2 /ctn. Finish Pre-finished, matte coat",,,"s. Pre-finished, Matte PU Lacquer. Surface is light wire brushed. Size & Length",Confirm the current solid timber warranty for the selected range before order.,
/ranges/botanica/,Botanica,Engineered timber,,8,,,,Confirm suitable installation method before booking,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/castel-nuovo/,Castel Nuovo,Engineered timber,,12,14/3mm,600 x 120 x 3/14mm,,Tongue & Groove System,"Confirm the current engineered timber warranty, maintenance requirements and site conditions before ordering.",
/ranges/cavallo-bianco/,Cavallo Bianco,Engineered timber,,12,14/3mm,780 x 125 x 3/14mm,,Tongue & Groove System,"Confirm the current engineered timber warranty, maintenance requirements and site conditions before ordering.",
/ranges/elk-falls/,Elk Falls,Engineered timber,,1,,,,WR Laminate Download Warranty Download Brochure - Oakleaf HD PLUS Laminate Downl,Confirm the current solid timber warranty for the selected range before order.,
/ranges/lavanda-oak/,Lavanda Oak,Engineered timber,,12,14/3mm,1900 x 190 x 3/14mm,,Tongue & Groove System,"Confirm the current engineered timber warranty, maintenance requirements and site conditions before ordering.",
/ranges/fiddleback/,Fiddleback,Engineered timber,,9,,,,"Floating or direct-stick depending on product, substrate and specification",Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/select-australian-timber/,Select Australian Timber,Engineered timber,,6,,,,Download Warranty Download Brochure - Select Australian Timber Download See more,Confirm the current solid timber warranty for the selected range before order.,
/ranges/prestige-oak/,Prestige Oak,Engineered timber,Prestige Oak,46,,,,"Floating or direct-stick depending on product, substrate and specification",Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/project-oak/,Project Oak,Engineered timber,,12,14/2mm,1900 x 190 x 2/14mm,,Tongue & Groove System,"Confirm the current engineered timber warranty, maintenance requirements and site conditions before ordering.",
/ranges/pronto/,Pronto,Engineered timber,Pronto,13,,,,"Floating or direct-stick depending on product, substrate and specification",Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/pronto-engineered-oak/,Pronto Engineered Oak,Engineered timber,,1,,,,Instruction T&G Ranges Download Installation Instruction Parquetry Download Warr,Confirm the current solid timber warranty for the selected range before order.,
/ranges/swish-oak/,Swish Oak,Engineered timber,Swish,24,,,,"Floating or direct-stick depending on product, substrate and specification",Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/swish-oak-contemporary/,Swish Oak Contemporary,Engineered timber,,6,Engineered oak,Length 1900mm x Width 190mm,,"Floating or direct-stick depending on the board construction, product specification and site conditions.",Confirm the current supplier warranty for the selected range before ordering.,
/ranges/swish-oak-natura/,Swish Oak Natura,Engineered timber,,16,14/3mm,,,Glue down / Floating,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/swish-oak-natura-handcrafted/,Swish Oak Natura Handcrafted,Engineered timber,,3,Engineered oak,Length 1900mm x Width 190mm,,"Floating or direct-stick depending on the board construction, product specification and site conditions.",Confirm the current supplier warranty for the selected range before ordering.,
/ranges/swish-oak-natura-herringbone/,Swish Oak Natura Herringbone,Engineered timber,,6,14/3mm,,,Glue Down,Confirm the current supplier warranty for the selected range before ordering.,
/ranges/swish-oak-wideboard/,Swish Oak Wideboard,Engineered timber,,8,14/4mm,Length 2200mm x Width 220mm,,"Floating or direct-stick depending on the board construction, product specification and site conditions.",Confirm the current supplier warranty for the selected range before ordering.,
/ranges/wooden-land-australian-species-136mm/,Wooden-Land Australian Species 136mm,Engineered timber,,7,14/3mm,,,5G Licensed Click System,"Confirm the current engineered timber warranty, maintenance requirements and site conditions before ordering.",
/ranges/wooden-land-australian-species-190mm/,Wooden-Land Australian Species 190mm,Engineered timber,,6,14/3mm,,,5G Licensed Click System,"Confirm the current engineered timber warranty, maintenance requirements and site conditions before ordering.",
/ranges/wooden-land-foreign-species/,Wooden-Land Foreign Species,Engineered timber,,2,14/3mm,,,Tongue & Groove System,"Confirm the current engineered timber warranty, maintenance requirements and site conditions before ordering.",
/ranges/wooden-land-herringbone/,Wooden-Land Herringbone,Engineered timber,,2,14/3mm,600 x 120 x 3/14mm,,5G Licensed Click System,"Confirm the current engineered timber warranty, maintenance requirements and site conditions before ordering.",
/ranges/hardwood-collection/,Hardwood Collection,Solid timber,,185,"12mm, AC4, Plank Size: Length 2200mm, Pack Qty: 1.698m² Width: 193mm, Thickness:",,2.155220.5.2,Instruction T&G Ranges Download Installation Instruction Click Download Warranty,Confirm the current solid timber warranty for the selected range before order.,
/ranges/solid/,Solid,Solid timber,Australian timber flooring range,24,,,,"Direct fix, nail or glue system depending on board and subfloor",Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
/ranges/swish/,Swish,Solid timber,Swish,2,,,,"Direct fix, nail or glue system depending on board and subfloor",Supplier warranty varies by range and use. Confirm current residential/commercial warranty before ordering.,
